,game_date,pts
44354,2016-03-04,83
44454,2016-03-08,109
44504,2016-03-11,93
44548,2016-03-12,100
44648,2016-03-17,99
44750,2016-03-21,117
44892,2016-03-27,101
44933,2016-03-29,94
44960,2016-03-30,111
44990,2016-04-01,106
45040,2016-04-03,109
45153,2016-04-08,99
45224,2016-04-11,120
45325,2016-10-27,99
45381,2016-10-30,103
45524,2016-11-05,86
45671,2016-11-12,95
45722,2016-11-16,102
45930,2016-11-25,94
46027,2016-11-30,115
46081,2016-12-02,105
46162,2016-12-05,118
46311,2016-12-12,101
46451,2016-12-19,105
46499,2016-12-21,107
46562,2016-12-23,96
46719,2017-01-02,91
46740,2017-01-03,105
46854,2017-01-08,107
46917,2017-01-11,108
47066,2017-01-19,113
47106,2017-01-21,112
47164,2017-01-23,109
47238,2017-01-27,112
47273,2017-01-29,107
47489,2017-02-08,114
47668,2017-02-16,111
47686,2017-02-24,112
47818,2017-03-01,105
47950,2017-03-07,131
47978,2017-03-08,123
48011,2017-03-10,130
48054,2017-03-11,125
48095,2017-03-13,104
48184,2017-03-18,93
48241,2017-03-20,102
48339,2017-03-25,127
48398,2017-03-28,119
48420,2017-03-29,124
48504,2017-04-02,115
48602,2017-04-06,106
48676,2017-04-10,105
48721,2017-04-12,102
48869,2018-10-22,125
48911,2018-10-24,122
48953,2018-10-26,112
48983,2018-10-28,104
49014,2018-10-30,95
49161,2018-11-06,100
49214,2018-11-09,108
49232,2018-11-10,116
49499,2018-11-23,107
49593,2018-11-28,104
49625,2018-11-30,98
49678,2018-12-03,110
49727,2018-12-05,131
49768,2018-12-08,101
49828,2018-12-10,101
49903,2018-12-14,118
49962,2018-12-18,110
49980,2018-12-19,118
50052,2018-12-23,89
50113,2018-12-26,95
50265,2019-01-04,109
50321,2019-01-06,116
50357,2019-01-08,115
50668,2019-01-25,95
50736,2019-01-29,113
50880,2019-02-06,129
50942,2019-02-09,134
50977,2019-02-11,112
51018,2019-02-13,120
51063,2019-02-22,110
51152,2019-02-27,125
51204,2019-03-01,96
51336,2019-03-08,111
51357,2019-03-09,130
51578,2019-03-20,120
51688,2019-03-26,106
51722,2019-03-27,124
51752,2019-03-29,124
51798,2019-03-31,95
51957,2019-04-07,110
52050,2019-10-23,100
52081,2019-10-25,97
52092,2019-10-26,122
52296,2019-11-06,106
52411,2019-11-13,133
52448,2019-11-15,137
52480,2019-11-17,121
52651,2019-11-26,104
52661,2019-11-27,140
52699,2019-11-29,103
52749,2019-12-01,125
52816,2019-12-06,103
52892,2019-12-10,107
52967,2019-12-14,111
53002,2019-12-16,133
53072,2019-12-20,118
53092,2019-12-21,108
53137,2019-12-23,121
53382,2020-01-08,89
53508,2020-01-15,106
53550,2020-01-17,111
53641,2020-01-22,129
53647,2020-01-23,124
53701,2020-01-26,133
53735,2020-01-28,131
54081,2020-02-23,117
54181,2020-02-28,119
54213,2020-03-01,124
54264,2020-03-03,126
54456,2020-08-02,110
54552,2020-08-07,107
54576,2020-08-09,103
54645,2020-08-13,96
54692,2020-12-23,107
54822,2021-01-01,130
54868,2021-01-03,123
54903,2021-01-06,136
54942,2021-01-08,107
55192,2021-01-24,101
55222,2021-01-26,88
55240,2021-01-27,106
55348,2021-02-03,103
55375,2021-02-05,95
55419,2021-02-07,97
55436,2021-02-08,105
55627,2021-02-20,118
55663,2021-02-22,127
55675,2021-02-23,116
55709,2021-02-25,112
55764,2021-02-28,110
55843,2021-03-10,112
56047,2021-03-21,106
56077,2021-03-23,113
56114,2021-03-25,102
56232,2021-04-01,91
56296,2021-04-05,101
56349,2021-04-07,131
56376,2021-04-09,110
56386,2021-04-10,106
56432,2021-04-12,125
56477,2021-04-14,123
56646,2021-04-23,129
56778,2021-04-30,122
56782,2021-05-01,124
56855,2021-05-05,134
56888,2021-05-06,131
56919,2021-05-08,133
56954,2021-05-10,124
56990,2021-05-12,116
57106,2021-10-20,98
57189,2021-10-25,90
57239,2021-10-27,116
57316,2021-11-01,111
57458,2021-11-10,97
57520,2021-11-13,104
57583,2021-11-17,87
57593,2021-11-18,97
57697,2021-11-24,102
57724,2021-11-26,101
57739,2021-11-27,120
57771,2021-11-29,99
57875,2021-12-05,90
57896,2021-12-06,110
57919,2021-12-08,119
58011,2021-12-13,107
58032,2021-12-15,105
58054,2021-12-16,98
58094,2021-12-18,109
58151,2021-12-23,124
58217,2021-12-28,112
58332,2022-01-07,122
58365,2022-01-09,102
58713,2022-01-29,95
58760,2022-02-01,98
58779,2022-02-02,106
59020,2022-02-16,108
59040,2022-02-17,117
59100,2022-02-26,86
59300,2022-03-09,109
59343,2022-03-11,109
59362,2022-03-12,118
59394,2022-03-14,112
59450,2022-03-18,97
59514,2022-03-21,97
59571,2022-03-24,102
59590,2022-03-25,100
59746,2022-04-03,102
59771,2022-04-05,132
59797,2022-04-06,103
59863,2022-04-10,108
59906,2022-10-19,114
59993,2022-10-23,107
60094,2022-10-30,94
60132,2022-11-02,121
60205,2022-11-06,97
60233,2022-11-07,108
60478,2022-11-23,105
60508,2022-11-25,107
60535,2022-11-27,121
60578,2022-11-30,107
60619,2022-12-02,116
60693,2022-12-07,111
60708,2022-12-09,111
60789,2022-12-14,128
60841,2022-12-17,93
60859,2022-12-18,117
60894,2022-12-20,113
60921,2022-12-22,112
60932,2022-12-23,125
61029,2022-12-30,119
61066,2023-01-01,118
61097,2023-01-03,113
61158,2023-01-06,110
61346,2023-01-18,116
61429,2023-01-24,127
61447,2023-01-25,108
61487,2023-01-28,113
61534,2023-01-30,127
61612,2023-02-04,123
61725,2023-02-13,126
61752,2023-02-14,126
61854,2023-02-26,82
61876,2023-02-28,119
61976,2023-03-07,119
62065,2023-03-12,93
