,game_date,pts
99018,2014-02-21,121
99036,2014-02-22,98
99152,2014-02-27,82
99205,2014-03-02,90
99244,2014-03-03,85
99275,2014-03-05,118
99335,2014-03-08,107
99431,2014-03-12,116
99626,2014-03-21,93
99726,2014-03-25,96
99738,2014-03-26,107
99800,2014-03-28,88
99836,2014-03-30,89
99845,2014-03-31,92
99996,2014-04-06,91
100086,2014-04-11,108
100181,2014-04-15,109
100273,2014-10-30,95
100420,2014-11-05,95
100444,2014-11-07,99
100470,2014-11-08,96
100683,2014-11-18,113
100686,2014-11-19,99
100816,2014-11-24,86
100840,2014-11-26,102
100902,2014-11-28,78
101040,2014-12-05,102
101124,2014-12-09,93
101160,2014-12-10,95
101199,2014-12-12,101
101331,2014-12-18,97
101384,2014-12-21,108
101520,2014-12-27,129
101542,2014-12-28,79
101616,2014-12-31,78
101714,2015-01-05,83
101760,2015-01-07,91
101923,2015-01-15,79
102060,2015-01-21,98
102122,2015-01-24,71
102223,2015-01-29,82
102379,2015-02-06,88
102468,2015-02-09,95
102518,2015-02-11,83
102661,2015-02-25,94
102720,2015-02-27,121
102833,2015-03-04,82
102958,2015-03-09,78
102961,2015-03-10,82
103017,2015-03-12,101
103055,2015-03-14,94
103070,2015-03-15,89
103206,2015-03-20,81
103369,2015-03-28,80
103490,2015-04-03,87
103662,2015-04-11,80
103718,2015-04-13,112
103816,2015-10-28,122
103880,2015-10-31,117
103958,2015-11-04,86
104106,2015-11-10,111
104109,2015-11-11,93
104298,2015-11-20,93
104328,2015-11-21,107
104374,2015-11-23,78
104419,2015-11-25,91
104646,2015-12-05,91
104714,2015-12-09,85
104747,2015-12-10,97
104807,2015-12-12,112
104924,2015-12-18,107
105040,2015-12-23,84
105103,2015-12-26,98
105112,2015-12-27,91
105208,2016-01-01,81
105294,2016-01-05,107
105308,2016-01-06,98
105353,2016-01-08,99
105483,2016-01-13,104
105539,2016-01-16,95
105688,2016-01-23,84
105799,2016-01-28,93
105942,2016-02-04,105
106134,2016-02-19,98
106161,2016-02-20,103
106258,2016-02-24,105
106443,2016-03-04,104
106529,2016-03-08,94
106561,2016-03-09,128
106587,2016-03-11,94
106640,2016-03-13,90
106693,2016-03-16,85
106773,2016-03-19,89
106874,2016-03-23,115
106975,2016-03-28,91
107019,2016-03-30,89
107221,2016-04-08,109
107307,2016-04-12,90
107364,2016-10-25,88
107488,2016-11-01,89
107563,2016-11-04,117
107707,2016-11-11,87
107722,2016-11-12,107
107839,2016-11-17,112
108032,2016-11-26,102
108121,2016-11-30,106
108248,2016-12-06,114
108306,2016-12-09,103
108359,2016-12-11,118
108406,2016-12-13,111
108441,2016-12-15,90
108491,2016-12-17,114
108723,2016-12-28,98
108750,2016-12-30,92
108766,2016-12-31,122
108899,2017-01-06,116
108913,2017-01-07,109
108997,2017-01-11,97
109056,2017-01-15,101
109137,2017-01-18,117
109232,2017-01-23,109
109276,2017-01-25,95
109356,2017-01-29,139
109400,2017-01-31,101
109424,2017-02-01,95
109725,2017-02-15,105
109757,2017-02-23,104
109906,2017-03-01,101
109936,2017-03-03,102
109994,2017-03-06,113
110043,2017-03-08,93
110128,2017-03-11,92
110137,2017-03-12,112
110300,2017-03-20,105
110347,2017-03-22,101
110367,2017-03-23,95
110408,2017-03-25,98
110551,2017-03-31,98
110682,2017-04-07,88
110903,2018-10-19,105
110968,2018-10-22,113
110997,2018-10-24,87
111160,2018-11-02,118
111193,2018-11-04,95
111275,2018-11-07,112
111315,2018-11-10,112
111378,2018-11-14,103
111418,2018-11-16,124
111473,2018-11-18,117
111526,2018-11-21,117
111615,2018-11-25,103
111642,2018-11-27,108
111661,2018-11-28,91
111813,2018-12-06,100
111939,2018-12-12,106
111964,2018-12-14,126
112015,2018-12-16,99
112060,2018-12-19,109
112198,2018-12-27,96
112255,2018-12-29,97
112293,2019-01-01,108
112349,2019-01-04,119
112401,2019-01-07,101
112429,2019-01-08,95
112589,2019-01-17,100
112748,2019-01-25,99
112791,2019-01-28,92
112991,2019-02-08,103
113051,2019-02-11,104
113106,2019-02-14,106
113330,2019-03-03,107
113342,2019-03-04,108
113378,2019-03-06,96
113467,2019-03-10,92
113505,2019-03-12,98
113546,2019-03-15,83
113622,2019-03-18,92
113939,2019-04-03,100
113973,2019-04-05,96
114049,2019-04-09,96
114122,2019-10-23,111
114148,2019-10-25,109
114261,2019-10-30,83
114280,2019-11-01,102
114361,2019-11-06,102
114393,2019-11-08,106
114481,2019-11-12,102
114615,2019-11-20,104
114753,2019-11-27,98
114843,2019-12-02,88
114965,2019-12-10,87
114991,2019-12-11,124
115018,2019-12-13,103
115066,2019-12-15,105
115142,2019-12-20,114
115241,2019-12-26,94
115258,2019-12-28,107
115372,2020-01-03,112
115412,2020-01-05,132
115445,2020-01-07,87
115473,2020-01-08,104
115568,2020-01-14,102
115671,2020-01-20,106
115809,2020-01-28,92
115879,2020-02-01,92
115914,2020-02-03,139
116012,2020-02-08,95
116027,2020-02-09,135
116195,2020-02-24,112
116234,2020-02-26,101
116465,2020-03-10,115
116482,2020-03-11,136
116781,2020-12-23,107
116871,2020-12-29,95
116897,2020-12-31,83
116925,2021-01-02,106
116952,2021-01-04,113
117083,2021-01-11,88
117133,2021-01-15,103
117155,2021-01-17,105
117220,2021-01-21,119
117234,2021-01-22,94
117260,2021-01-24,113
117296,2021-01-26,94
117387,2021-02-01,102
117421,2021-02-03,107
117524,2021-02-09,96
117583,2021-02-12,109
117653,2021-02-17,89
117839,2021-02-28,109
117861,2021-03-02,93
117943,2021-03-11,101
117971,2021-03-13,119
118010,2021-03-15,112
118033,2021-03-16,96
118237,2021-03-27,102
118293,2021-03-31,101
118340,2021-04-03,125
118383,2021-04-05,112
118409,2021-04-07,99
118558,2021-04-14,116
118574,2021-04-16,117
118887,2021-05-02,122
118911,2021-05-03,118
118930,2021-05-05,97
118989,2021-05-07,105
119025,2021-05-09,106
119050,2021-05-11,99
119231,2021-10-22,121
119323,2021-10-28,104
119367,2021-10-30,123
119422,2021-11-03,98
119465,2021-11-05,113
119502,2021-11-08,103
119572,2021-11-12,96
119725,2021-11-21,103
119827,2021-11-27,99
119872,2021-11-30,110
119979,2021-12-07,121
119987,2021-12-08,102
120020,2021-12-10,87
120137,2021-12-16,116
120164,2021-12-18,107
120288,2021-12-28,96
120302,2021-12-29,94
120330,2021-12-31,80
120425,2022-01-08,75
120544,2022-01-15,117
120699,2022-01-24,93
120733,2022-01-26,96
120760,2022-01-28,108
120914,2022-02-05,115
120947,2022-02-07,104
120965,2022-02-08,115
120996,2022-02-10,116
121043,2022-02-12,103
121256,2022-03-02,108
121282,2022-03-04,114
121315,2022-03-06,116
121347,2022-03-07,131
121384,2022-03-09,107
121422,2022-03-11,114
121453,2022-03-13,107
121617,2022-03-23,121
121662,2022-03-25,111
121691,2022-03-27,104
121833,2022-04-03,118
121928,2022-04-08,114
122003,2022-10-19,112
122147,2022-10-28,108
122181,2022-10-30,108
122260,2022-11-04,106
122308,2022-11-07,120
122324,2022-11-09,85
122426,2022-11-15,118
122436,2022-11-16,106
122481,2022-11-18,101
122506,2022-11-20,95
122520,2022-11-21,129
122636,2022-11-29,140
122805,2022-12-09,121
122906,2022-12-16,114
122932,2022-12-18,109
123072,2022-12-27,121
123091,2022-12-29,115
123131,2022-12-31,108
123230,2023-01-06,112
123331,2023-01-13,112
123361,2023-01-15,117
123454,2023-01-20,124
123480,2023-01-22,116
123545,2023-01-26,120
123570,2023-01-28,115
123725,2023-02-07,102
123777,2023-02-10,108
123844,2023-02-15,122
123893,2023-02-24,115
124013,2023-03-03,122
124096,2023-03-09,117
124118,2023-03-11,95
124149,2023-03-12,112
