,game_date,pts
22509,2010-01-07,97
22701,2010-01-15,104
22758,2010-01-18,99
22854,2010-01-22,105
22895,2010-01-24,78
22943,2010-01-26,132
22986,2010-01-28,104
23127,2010-02-03,107
23166,2010-02-05,107
23236,2010-02-09,114
23336,2010-02-17,109
23414,2010-02-20,118
23447,2010-02-22,67
23577,2010-02-27,109
23665,2010-03-03,128
23740,2010-03-06,93
23770,2010-03-08,99
24016,2010-03-19,92
24056,2010-03-21,112
24098,2010-03-23,109
24383,2010-04-06,104
24524,2010-04-11,98
24536,2010-04-12,114
24726,2010-10-30,95
24816,2010-11-05,112
24884,2010-11-07,96
24936,2010-11-10,117
25015,2010-11-14,96
25207,2010-11-23,110
25291,2010-11-27,90
25357,2010-11-30,111
25497,2010-12-06,121
25542,2010-12-08,113
25626,2010-12-12,129
25688,2010-12-15,116
25736,2010-12-17,91
25849,2010-12-22,112
25870,2010-12-25,103
26035,2011-01-02,98
26089,2011-01-04,128
26277,2011-01-14,83
26343,2011-01-17,121
26516,2011-01-24,115
26639,2011-01-30,124
26693,2011-02-02,97
26789,2011-02-06,117
26861,2011-02-09,108
26909,2011-02-11,96
27014,2011-02-16,102
27059,2011-02-23,114
27245,2011-03-02,107
27263,2011-03-04,115
27344,2011-03-07,131
27464,2011-03-13,93
27554,2011-03-17,120
27638,2011-03-21,86
27701,2011-03-23,99
27743,2011-03-25,96
27797,2011-03-28,113
27845,2011-03-30,120
27938,2011-04-03,123
28139,2011-04-12,90
28190,2011-12-25,106
28373,2012-01-02,85
28430,2012-01-04,110
28556,2012-01-09,91
28622,2012-01-11,85
28742,2012-01-16,93
28781,2012-01-18,88
28817,2012-01-20,86
28871,2012-01-21,114
29081,2012-01-31,113
29134,2012-02-02,102
29178,2012-02-04,99
29237,2012-02-06,99
29311,2012-02-10,92
29438,2012-02-15,100
29491,2012-02-17,85
29536,2012-02-19,104
29548,2012-02-20,92
29612,2012-02-22,99
29680,2012-02-29,120
29930,2012-03-11,94
29989,2012-03-14,121
30048,2012-03-16,115
30140,2012-03-20,106
30243,2012-03-24,101
30276,2012-03-26,89
30333,2012-03-28,108
30396,2012-03-31,91
30603,2012-04-08,100
30720,2012-04-13,103
30771,2012-04-15,85
30810,2012-04-17,118
30993,2012-04-25,99
31086,2012-11-02,104
31140,2012-11-04,100
31455,2012-11-18,88
31600,2012-11-25,121
31704,2012-11-30,108
31743,2012-12-02,106
31880,2012-12-09,112
31965,2012-12-13,116
32001,2012-12-15,103
32043,2012-12-17,96
32090,2012-12-19,100
32148,2012-12-21,106
32184,2012-12-23,94
32355,2013-01-01,100
32403,2013-01-03,100
32484,2013-01-07,96
32565,2013-01-11,101
32788,2013-01-21,85
32928,2013-01-27,106
32985,2013-01-30,113
33030,2013-02-01,96
33060,2013-02-02,120
33099,2013-02-04,99
33234,2013-02-10,88
33285,2013-02-13,88
33450,2013-02-24,99
33504,2013-02-27,109
33582,2013-03-03,93
33684,2013-03-07,94
33720,2013-03-09,113
33987,2013-03-20,106
34050,2013-03-23,110
34122,2013-03-27,108
34161,2013-03-29,111
34227,2013-03-31,108
34314,2013-04-05,101
34401,2013-04-09,120
34584,2013-04-17,98
34661,2013-10-30,90
34742,2013-11-03,100
34781,2013-11-05,97
34888,2013-11-10,89
34969,2013-11-14,106
35031,2013-11-16,90
35081,2013-11-20,96
35346,2013-12-01,99
35426,2013-12-06,121
35479,2013-12-08,73
35539,2013-12-11,83
35630,2013-12-16,101
35741,2013-12-21,87
35807,2013-12-25,94
35822,2013-12-27,83
36053,2014-01-07,89
36111,2014-01-09,102
36189,2014-01-13,98
36272,2014-01-17,95
36353,2014-01-20,80
36382,2014-01-22,106
36421,2014-01-24,125
36489,2014-01-26,110
36512,2014-01-28,114
36560,2014-01-30,117
36619,2014-02-01,91
36694,2014-02-05,90
36711,2014-02-07,117
36835,2014-02-12,101
37013,2014-02-24,108
37096,2014-02-28,103
37234,2014-03-07,108
37309,2014-03-10,123
37425,2014-03-15,115
37505,2014-03-19,92
37605,2014-03-23,100
37827,2014-04-02,110
37872,2014-04-04,89
38056,2014-04-13,100
38142,2014-04-16,95
38184,2014-10-29,80
38269,2014-11-02,96
38302,2014-11-04,83
38437,2014-11-10,85
38486,2014-11-12,95
38519,2014-11-14,100
38561,2014-11-16,109
38683,2014-11-22,91
38851,2014-11-30,79
38889,2014-12-02,93
39006,2014-12-07,99
39174,2014-12-14,90
39215,2014-12-16,87
39304,2014-12-20,90
39399,2014-12-25,91
39562,2015-01-02,81
39616,2015-01-04,82
39701,2015-01-08,96
39755,2015-01-10,82
39926,2015-01-19,99
40021,2015-01-23,113
40125,2015-01-28,100
40205,2015-02-01,92
40243,2015-02-03,97
40346,2015-02-07,92
40474,2015-02-20,87
40516,2015-02-22,83
40663,2015-02-28,103
40720,2015-03-03,86
40836,2015-03-07,86
41051,2015-03-17,104
41096,2015-03-19,92
41179,2015-03-23,82
