,first_name,last_name,official_id,fgm,fg_pct,fg3m,fg3_pct,ftm,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,num_games
2,Aaron,Smith,1626302,1.1037133256945453,0.5544983753669581,1.1577068128104926,0.43808529655756856,-0.6044738736640144,0.5387834737595018,-0.6779406490498571,1.0634084132560893,0.818543477118667,1.0014949950990641,0.31331339440370337,-0.2215192133744727,-0.3907786467094821,-1.0654226002478027,1.0476052496441453,648
3,Andy,Nagy,1627534,1.330008113789087,0.8245317658943875,1.4255641874052662,0.4924573589829786,-0.751355966028548,0.8468163873319356,-0.8212115407398003,1.101959907822333,0.7737459061775229,1.463752186870059,0.13768363072270515,-0.010953332918254545,-0.5770649656911562,-1.2548518980789447,1.269774222929576,278
4,Anthony,Jordan,1169,-1.2836405935369897,-0.4061507696813912,-1.0563044042055,0.6129105956015126,0.4666667369212316,-0.2829076886250814,0.49350958300320363,-1.4851431796518217,-1.427578332446243,-0.9019209646943138,0.44244446731985543,-0.2707814621531849,0.7538598880126456,0.7026174218084806,-1.1520710574660569,320
5,Ashley,Moyer-Gleich,1628953,1.2091049059351153,0.7969579364560292,1.2469742738305187,0.5125566179788317,-0.39703428468406127,0.5570601321123309,-1.0354718731785697,1.1521878483059367,0.698065717792797,1.2701819182903686,0.3566453880868327,-0.02873218410397143,-0.0058367041866946,-0.8083265618073255,1.1962487948236096,316
6,Ben,Taylor,202049,0.7360693042801661,0.5469964122727528,0.7309086331985355,0.25333134583444217,-0.09956026099899472,0.27165798718116685,-0.6595680034841914,0.6397350387452956,0.3344862127905045,0.686357548948526,-0.06324416921152795,-0.4078028268771339,-0.16027949830821142,-0.10939253562660942,0.7475050523850195,1006
7,Bennett,Salvatore,1192,-0.6280847323338441,-0.12079997283969386,-0.6513175059973653,0.19122016335816955,0.5010501352178961,-0.14856303969763504,0.21046392543721035,-0.755212422653081,-0.7513455666320465,-0.5454974477306749,-0.1474231432741956,-0.5048904643356003,0.0915783079441618,0.5049210575722033,-0.559235647734057,1306
8,Bennie,Adams,1363,-0.497651206935797,-0.2724063418243201,-0.4361746699718112,0.023722705977152755,-0.11369613256841161,-0.20038828672510609,0.09323215002251344,-0.3677939829944047,-0.3717241429450531,-0.4981694072839817,-0.11547275241658238,-0.1972522850971963,0.03154071930852617,0.18192725717689773,-0.5209925710328174,1834
9,Bernie,Fryer,1163,-0.8225218319254387,0.024814236461020912,-0.9325017667858679,0.4105238579921676,0.6434099559673817,-0.6146534700915637,0.7941634766756644,-1.1724178321378105,-0.8731336631964363,-0.6038109640012325,0.4526472233400818,-0.37191699955398394,0.5084681215052504,0.7199836377944359,-0.7672776333117226,426
10,Bill,Kennedy,1662,-0.18685397159445682,0.10737582061613485,-0.21555667015607075,0.25026305272949806,-0.029644889614816594,-0.009919214449272245,-0.08833101791856897,-0.31903050038340164,-0.4286021562962807,-0.2246643251010901,-0.23939390391169435,-0.28174889622667604,0.15191822751578526,-0.08950056097826668,-0.21374223490225971,2178
12,Bill,Spooner,1194,-0.3281808499010763,0.056580553342080446,-0.5055237505565616,0.16629829514260502,-0.08727354470585723,-0.18484170020559515,0.22243019046199938,-0.5899634244535238,-0.5505403224154904,-0.40733693171582064,-0.0313560627419755,-0.14042692273560053,0.24732053278443522,-0.18876805260869736,-0.4343259750258789,1452
14,Blane,Reichelt,1186,-1.1276813759092437,-0.9183292775388462,-1.0159633887991388,0.2465666307240504,0.6749412460509239,0.07895483933082267,1.1587776160209917,-0.962264937652443,-0.39854078798399206,-1.0769543176685445,0.5130957656857339,-0.25556759169804183,-0.29837910020115466,0.5182960283210932,-0.9905044065576131,252
15,Bob,Delaney,1154,-0.8481144398295251,-0.2684670001626361,-0.8783006679086865,0.07392021258470563,0.3515933687961459,-0.2460357621297199,0.45677055242806297,-0.8848872908138882,-0.7484902649536425,-0.9806949728481947,-0.39739908194736395,-0.15083518218184647,0.5272113530423712,0.5375099139760783,-0.8247892313192173,992
16,Brandon,Adair,1627961,1.2082798671076729,0.37594606147934984,1.2662572367143103,0.07212477893976997,-0.9538237871733145,0.46674681778862476,-0.6396579617278613,1.4440917290277606,1.2878611282672814,1.0723651533013967,-0.06897722811738465,-0.056485154780432145,-1.0147076651826987,-1.2166611321843852,1.0833756387930722,442
17,Brandon,Schwab,1628171,1.2626411488273155,0.5391030650073855,1.2839309947808586,0.029962780964687286,-0.6329969029498537,0.6124470280423278,-0.28745723836550346,1.1076239096215454,1.115265035432399,1.2459782112406528,0.41978390698055645,0.7747606202030767,-0.17922267094988192,-1.1404208641327507,1.1947132161136564,188
19,Brent,Barnaky,201638,0.3785875725466781,0.18427671833964193,0.4379587236412561,0.27000578554273424,-0.6271210887897355,0.3613910724354884,-0.5986695807154387,0.5608969798591845,0.2804762469588264,0.3753823299606289,0.3513954802796604,-0.16370511746048563,-0.1558975158173043,-0.9162199054307116,0.2852830190192236,1330
22,Brett,Nansel,202035,1.1418766480974836,0.6536494604509585,1.106695747769924,0.2695637058462128,-0.22007829005209115,0.5445562714466822,-0.747425165738051,1.1227912852439523,0.8444088867264555,1.0656275716830543,0.1958669614921371,-0.21195336060602613,-0.7719164728062805,-0.6071807714622156,1.1344683068685246,532
23,Brian,Forte,101283,0.1155264684981274,-0.0501149095718476,0.18392010239644987,0.12468912603309179,-0.40175858353926197,0.19732939912791433,-0.2379295667860496,0.35034714181535,0.26052841261116033,-0.024348226604657682,0.1357845986658676,0.09255568585383955,-0.17213593514004932,-0.5231962203841738,0.06198670000550448,1724
